post_number,user,topic,raw,created_at,reply_to_post_number
60,steffi3,Was denken Sie: Wie lässt sich Terror stoppen? (77),"naja, das sit alles ziemlich undurchsichtig",2017-09-01 18:15:32.601721,NULL
61,Sammy,Was denken Sie: Wie lässt sich Terror stoppen? (77),Der Aussage stimme ich voll und ganz zu!,2017-09-01 18:23:05.535303,49
62,anonym13,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Den Terror kann man nicht stoppen, dafür gibt es auf der Welt viel zu viel Qual und Leid und sowieso Ungerechtigkeit.",2017-09-01 19:12:40.187467,NULL
63,oma2007,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Warum können Kinder verschiedener Nationalitäten miteinander umgehen? Sie haben und kennen keine Unterschiede. Diese lernen sie erst von den Erwachsenen. Ebenso die Sportler. Warum können wir von diesen Menschen nichts lernen. Müssen die Politiker immer nach ""Streit"" suchen? Die Bevölkerung untereinander will meistens keinen Streit.",2017-09-02 05:50:35.166321,NULL
64,realhumans,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Dier Lösung wird sicher nicht sein, überall jeden auf der Welt die eierlegende Wollmilch-Sau zu verkaufen. Es muss weiterhin klar gemacht werden, dass hinter den Wohlstand und dem unterschiedlichen Gefilde auch dementsprechende Leistung stecken. Natürlich kann man Ausbeutung, Unterdrückung etc. nicht wegdiskutieren. Aber für mich ist Transparenz der Schlüsse und Aufklärung, um Wut zu reduzieren bzw. anders zu kanalisieren. Zumindest sollte man seiner Lebensweise treu bleiben und seine Werte weiterhin verteidigen. Wir sind nicht für das ganze Unheil der Welt zuständig wie immer alle behaupten, auch andere westliche Staaten nicht. Aber es wird immer ein Kämpfen geben, es wird immer ein Neid-Kampf sein. Es wird immer unterschiedliche Intelligenz-Niveaus geben. Das Ziel soll es sein, das ganze mit möglich wenigen Todesopfern zu erreichen. Die Minimierung der Zahl und die Brutalität sollte das Ziel sein, nicht die Illusion eines Weltfriedens. Dafür sind die Interessen weitaus zu verschieden.",2017-09-02 11:38:37.46416,NULL
65,Luna,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Es ist wie mit Krieg. Lässt der sich stoppen ? Gab es jemals eine Zeit in der Menschheit, in der auf der ganzen Welt Frieden war? Für mich ist Terror ein Art Krieg.",2017-09-02 19:57:21.709362,NULL
66,Steffi84,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Einreiseverbot sofort!!! Wenn Terrorbekämpfung, dann da wo es sinnvoll ist und das ist ja wohl außerhalb von Deutschland. Denn wenn er schon im eigenem Land ist es meistens schon zu spät.",2017-09-02 20:00:57.853253,NULL
67,theo-karlsruhe,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Es ist ganz einfach: Stoppt Kriege und Waffenhandel im Ausland. Den Großmächten beibringen, dass es andere Sparten geben kann, wo Lobbys genug Milliarden abkassieren können - es dürfen keine Kriege mehr sein... Krieg bringt Leid und Flüchtlinge. Einfach Geschichte lesen...",2017-09-02 22:52:39.543147,NULL
68,studentin,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Stoppen werden wir den Terror in nächster Zeit nicht. Mit dem Neun-Punkte-Plan wird es auch nicht funktionieren, denn er hat zu viele Lücken. Meiner Meinung nach können wir den Terror bekämpfen indem wir weniger Flüchtlinge in Deutschland aufnehmen. Wir sollten aber nicht einfach keine Flüchtlinge mehr aufnehmen sondern die Flüchtlingsursachen bekämpfen. Dann kommen auch weniger Flüchtlinge nach Deutschland und damit auch weniger Terroristen. Die Terroristen sollten wir konsequent verfolgen und sofort ausweisen ohne Möglichkeit auf Rückkehr.",2017-09-03 08:58:23.279008,NULL
69,fmanu,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Ich bin mir nicht sicher, ob sich der Terror überhaupt stoppen lässt. Unzufriedenheit, Radikalismus und Wut wird es weiterhin geben und das sind oft die Auslöser für Gewalt und Krieg. Man müsste schon Religionen verbieten, Waffen abschaffen und auf der ganzen Welt für gleiche Bedingungen sorgen. Selbst dann habe ich die Befürchtung dass irgendjemand Unmut stiftet und es trotzdem wieder zu Terror kommt.",2017-09-03 09:18:07.458001,NULL
70,Simon,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Mit den derzeitigen weltwirtschaftlichen Gegebenheiten wird sich der Terror nicht stoppen lassen. Der Islamismus ist ja nicht das Hauptproblem, er liefert nur den theoretischen Überbau, so wie es vor 40 Jahren der Sozialismus war, der Terrororganisationen wie der RAF als ideelle Grundlage gedient haben. Darüber müssten wir uns zunächst einmal klar werden, dann könnten wir direkte und effektive Schritte unternehmen.",2017-09-03 11:15:48.725764,NULL
71,ettes,Was denken Sie: Wie lässt sich Terror stoppen? (77),Durch Bildung und Aufklärung der Bevölkerung,2017-09-04 06:15:35.415361,NULL
72,Luna,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Man darf auch bei einem großen Flüchtlingsansturm, nicht einfach Menschen ohne Pass ins Land lassen und so völlig die Kontrolle darüber verlieren, wenn man hier rein lässt. Viele , die ohne Papiere kamen, haben die ja einfach weggeschmissen, um so einfacher ins Land zu kommen.",2017-09-04 08:17:06.477351,NULL
73,kayguendel,Was denken Sie: Wie lässt sich Terror stoppen? (77),so siehts aus Thema Afrika Lösung,2017-09-04 08:44:37.430103,17
74,HG68,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Eine 100 %ige Sicherheit wird es nie geben. Es wird immer Menschen geben, die ihre Machtansprüche mit allen Mitteln durchsetzen möchten und glauben, ihre persönlichen Anscihten allen anderen aufzwingen wollen und es gibt leider auch immer genug Leute, die sich von diesen Menschen instrumentalisieren lassen und auf Rattenfänger hereinfallen. Um schon radikalisierte Personen, davon abzuhalten Anschläge zu begehen ist ein Frühwarnsystem, wie es in dem 9-Punkte-Plan angesprochen wird wichtig und wahrscheinlich unabdingbar. Darüberhinaus sind sicherlich nachvollziehbare, konsequente und harte Strafen für die Täter wichtig, die tatsächlich abschreckende Wirkung für Nachahmer haben. Leider habe ich das Gefühl, dass die deutsche Justiz hier sehr oft nicht konsequent genug ist und solchen Tätern den Eindruck vermittel,t´dass ihnen, auch wenn sie erwischt werden, nicht wirklich etwas passieren kann. Das Jugendschutzgesetz und das Jugendliche und Heranwachsende auch im Strafrecht noch einen gewissen Schutzstatus haben, macht prinzipiell sicherlich Sinn, aber wer besonders gewalttätige oder menscheverachtende Straftaten begeht, oder immer wieder aufs Neue straffällig wird, obwohl er für die gleichen Taten schon öfter verhaftet wurde, sollte dann auch diesen Schutzstatus verlieren und mit unangenehmeren Konsequenzen rechnen müssen. Bei der Erziehung meiner Kinder muss ich auch sinnvolle Grenzen ziehen und darf deren Übertretung nicht ständig ohne Konsequenz geschehen lassen, sonst wird sie niemand mehr ernst nehmen. Hier hat eine Gesellschaft sowohl den Tätern als auch den Opfern gegenüber die Pflicht klare Kante zu zeigen und gerade jugendlichen Tätern, die von Natur aus dazu neigen, Grenzen auszutesten und Werte in Frage zu stellen, auch einen Erziehungsauftrag. Abgesehen davon ist dieses Klientel auch noch sehr leicht beeinflussbar, wenn es um radikale Strömumgem geht. Unter den Flüchtlingen, die in unser Land kommen, sind sehr viele alleinreisende überwiegend männliche Jugendliche und Heranwachsende, die neben Versorgung und Bildungsmöglichkeiten auch noch mehr als andere auf solche Erziehung und Schutz vor Rattenfängern aus der radikaleren Szene benötigen. Um so unzufriedener und verzweifelter Menschen sind, desto mehr Wut staut sich auf und desto eher sind sie bereit, auch Gewalt anzuwenden, um selbst ein Stück vom Kuchen zu bekommen oder auch die, denen es besser geht, zu bestrafen oder auch nur deren Aufmerksamkeit zu gewinnen. Daher wäre es wesentlich die Armut und Bildungsferne vieler Menschen in den Schwellenländern (in Afrika und anderswo auf der Welt) zu bekämpfen und dafür zu sorgen, dass sie dort in Frieden leben können. Erst wenn die Menschen dort eine Perspektive haben und ein menschenwürdiges Leben leben können, gibt es zum einen weniger, die von dort fliehen und auch weniger, die sich in ihrer Hoffnungslosigkeit von terroristischen Gruppen vereinnahmen lassen, die ihnen ein besseres Leben versprechen, wenn sie sich deren Ideologie anschließen. Um Armut und Bildungsferne zu bekämpfen genügt es nicht, ständig irgendwelche von Firmen aus den Industrienationen gesponsere Riesenprojekte zu machen, bei denen es letztendlich doch nur darauf ankommt, dass die ausführenden Firmen möglichst viel Profit machen. Es kommt eher darauf an, die Menschen in diesen Ländern zu befähigen, selbst eine tragfähige Wirtschaft und Infrastruktur aufzubauen, die auch ökologische Faktoren und Nachhaltigkeit im Fokus hat, und im Endeffekt dazu führt, dass die einzelnen Familien eine tragfähige Grundlage haben. Wesentlich ist auch, dass auf die Einhaltung von Menschenrechten in diesen Staaten gepocht wird und statt der Eliten und korrupter Strukturen auf der Regierungsebene die Menschen die dort leben gestärkt werden. Immer nur bestimmte Gruppen und Regime, die selbst oft ziemlich eigensüchtige und fragwürdige Ziele haben, zu unterstützen und mit Waffen zu versorgen, um kurzfristig und im Schnellschuss Probleme, wie die ""Flüchtlingskrise"" vom eigenen Land oder Europa fernzuhalten, wie es leider momentan Usus ist, wird auf Dauer keine langfristigen und tragfähigenLösungen bringen und sicherlich auch nicht dazu führen, dass es weniger Kriege und Unruhen in diesen Ländern gibt.Es führt eher dazu, dass noch mehr bewaffnete Gruppen mitmischen und die Menschen in ihren Heimatländern noch weniger sicher leben können. Natürlich ist auch die Überbevölkerung ein großes Problem und um Armut Hunger und Kindersterblichkeit zu bekämpfen, wäre auch eine gewisse Geburtenkontrolle wichtig. Dazu ist aber ein Umdenken bei den Menschen selbst wichtig und dazu ist es wenig hilfreich, wenn große religiöse Führer z.B. Verhütung als Todsünde verdammen.",2017-09-04 11:06:21.759719,NULL
75,Frank,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Ich glaube nicht, das sich Terror stoppen lässt. Er entsteht aus religiösem Fanatismus, aus dem Gefühl, diskriminiert oder missachtet zu werden, aus wirren politischen Ansichten usw. Beim IS sieht man, das wenige ""Rattenfänger"" es schaffen, Terrorzellen aufzubauen. Man kann nur diese ""Rattenfänger"" identifizieren und ihnen das Handwerk legen. Man wird aber nie alle entdecken. Wichtig ist eine internationale Zusammenarbeit und Aufklärung der Bevölkerung. Große Hoffnung habe ich nicht. Der salafistische Terror und auch der von rechts und links wird sich nicht vollständig beseitigen lassen. Es wird immer einige Fanatiker geben, die im Untergrund weitermachen.",2017-09-04 20:48:44.28904,NULL
76,kayguendel,Was denken Sie: Wie lässt sich Terror stoppen? (77),"du meinst wie die schweiz aus allem raushalten, haben die eigentlich propleme,klingt ni übel, geht bloß ni",2017-09-05 10:17:21.764712,6
77,Sammy,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Wenn die Hilfen bzw Spenden die in all den Jahren an Afrika und andere hilfebedürftige Länder bei den Menschen angekommen wäre, die es benötigen, so ginge es den Völkern schon viel besser. Solange es Korruption gibt, können wir Geld und Hilfsmittel in diese Länder schicken und nichts passiert. Natürlich sehen wir jeden Tag in den Medien die armen Kinder, die verhungern, die sich prostituieren um ihre Familien zu ernähren. Diese Bilder werden bereits sei Jahrzehnten in den Medien gezeigt. Eigentlich müsste doch nach all dem Geld, was in all den Jahren in diese armen Länder geflossen ist und weiter fließt zumindest eine minimale Verbesserung zu sehen sein. Sicher geht es dort einigen Menschen besser als zuvor,doch leider nicht den ärmsten der Armen für die das Geld gedacht war. Und das ist das Traurige an der ganzen Geschichte.",2017-09-06 15:04:20.326699,17
1,system,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"<div class=wrap><img src=""/uploads/default/original/1X/1d4fb79551bf09ca05eff1cc2381e72f98007326.jpeg"" width=""689"" height=""410""></div> Die Anschläge der vergangenen Monate zeigten, dass der Terror nun mittlerweile auch in Europa angekommen ist. Es gab verschiedene Anschlägen in Europa: Zum Beispiel in Belgien, in Frankreich oder in Deutschland. Immer mehr Menschen sind vom Terror betroffen, sei es direkt oder indirekt. Uns interessiert: Haben Sie selbst bereits Erfahrungen mit Terror gemacht? Spüren Sie eine Veränderung in Ihrem Alltag? Und falls ja, welchen Einfluss hat Terror auf Ihr Leben? ## Sagen Sie uns Ihre Meinung!",2017-07-26 10:54:28.335733,NULL
2,danzerlois,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich war am 13.11. in Paris im Stadion und meine Frau und unsere Tochter abends nahe der République beim Essen in einem Restaurant.... Man braucht Glück im Leben. Am nächsten Tag war Paris très calme et personne devant les vitrines chez Printemps. Wir werden wieder hinfahren, denn wir lassen unsere Tochter dort nicht im Stich. Ausserdem wird unser Sohn ab Januar in Paris studieren. So viel zum familiären Umgang mit dem Terror.",2017-07-26 10:54:54.079428,NULL
3,utzscre,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich lebe in Brüssel und bin daher dieses Wochenende sehr konkret von einer Terror-Warnung betroffen. Ich halte mich an das, was die Behörden sagen (grosse Plätze meiden etc.), bleibe aber wegen dieser Situation nicht daheim. Gestern war ich wie immer am Samstag beim Einkaufen und zu einem Frühstück in einem Cafe. Das Schöne war das alles voll war. Ich möchte mich nicht verstecken wegen einer Terror-Warnung, zumal ich persönlich keine Angst habe. Auf einer politischen Ebene macht es mich aber stink-sauer, dass manche Politiker sowie Leute im rechten Lager den Terror instrumentalisieren und Ängste schüren.",2017-07-26 10:55:06.772863,NULL
4,braman,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Wie gehe ich mit der Terrorgefahr"" um? Genau so wie mit der Gefahr, bei einem Autounfall, bei einem Arbeitsunfall, durch Krankheit oder was es sonst noch an 'Lebens'gefährlichen Umständen gibt. Ich nehme an der (von den Medien) geschürten Hysterie NICHT Teil außer das ich sie kritisiere, noch mehr allerdings kritisiere ich die Reaktion der Politiker, diese geschürte Hysterie zum Anlass zu nehmen, Freiheiten und Bürgerrechte (noch mehr) ein zu schränken! MfG: M.B.",2017-07-26 10:55:18.958639,NULL
5,gracco,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich lebe weiter wie bisher. Ich habe eher Angst vor einer Krebsdiagnose oder einem Autounfall, als Opfer eines Terroranschlags zu werden. Ironischerweise verbreiten Politiker und deren willige Gehilfen in Funk und Printmedien mehr Panik als der Terrorismus selbst, erzeugen dadurch eine subjektive Bedrohung. Ich merke in meinem Bekanntenkreis, dass dies bei dem ein oder anderen funktioniert. Aber nicht bei mir.",2017-07-26 10:55:29.959856,NULL
6,monikamm207,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Die Terrorgefahr, die vermeintliche oder tatsächliche, beeinflusst mein Alltagsleben überhaupt nicht. Ich vertraue auf die Sicherheitsorgane, beachte Hinweise, wenn solche gegeben werden sollten, und lebe ansonsten völlig normal weiter, fahre mit der Bahn, gehe ins Restaurant und ins Kino. Vor allem: Ich habe keine Angst!",2017-07-26 10:55:44.885792,NULL
7,pokerwuerfel,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Meine Frau bekommt mittlerweile Angstzustände, wenn sie zu Arztterminen in die Stadt muss. Sieht sie Asylbewerber, kriegt sie Herzklopfen. Ich selbst meide immer mehr Menschenansammlungen, Events, Einkaufszentren usw. Es ist fast so, als würde ich auch bei einem akuten Gewitter nicht ins Freie gehe. Wenn ich dann von unseren ""Qualitätspolitikern"" höre, wir sollten uns nicht der Angst und dem Terror unterwerfen, kriege ich bald einen Koller! Merkel, Schulz, Lindner & Companeros müsse freilich keine Angst haben. Die werden so gut beschützt, dass ein Messer- oder Sprengstoffattentäter noch nicht mal in Sichtweite zu denen gelangt. Was für eine Verspottung von uns ""Normalbürgern""!!!",2017-08-29 12:44:01.229065,NULL
8,Zehle0,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Hatte noch Nie kontakt mit Terroranschläge und bin auch sehr froh darüber.,2017-08-29 13:46:12.844253,NULL
9,Neuer78,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Schlimme Art des Widerstandes,2017-08-29 20:09:44.362063,8
10,Luna,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Da ich in einem kleinen Dorf lebe (300 Einwohner) sehe ich für mich hier keine Terror- Gefahr.,2017-08-30 09:31:39.647493,NULL
11,Markus,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Tatsächlich hatte ich noch keinen direkten Kontakt, aber bei Großveranstaltungen nimmt man die Gefahr mittelbar durch sehr konsequente Personenkontrollen war. Und an zentralen, belebten Orten kommt schon mal der Gedanke auf, ""was wäre wenn....."".",2017-08-30 10:28:48.713787,NULL
12,gewe,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"zum Glück hatte ich mit dem aktuellen Terror noch keine direkte Berührung. Ich kann mich nur an die Angst erinnern, die ich zur Zeit der Bader-Meinhoff- Gruppe erlebt habe und die Verhaftung von Ulrike Meinhoff miterlebt habe in einem Kaufhaus in Hamburgs Innenstadt und immer wieder gewalttätige Demonstrationen, die das Leben eingeschränkt haben und Angst gemacht haben.",2017-08-30 10:32:09.810444,NULL
13,Julia,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Ich lebe weiter wie bisher auch,2017-08-30 13:01:46.182102,NULL
14,colbert,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Zum Glück bin ich bisher noch nie in irgendwelche brenzligen Situationen des Terrors geraten und habe somit nur Berührungspunkte zum medialen Terror, d.h. die Terrornachrichten und Berichterstattungen, die über Funk, Fernsehen und Internet verbreitet werden. Grundsätzlich kann es nicht des Rätsels Lösung sein, dass man keinen Schritt mehr vor die eigene Wohnungstür setzen darf, ohne sich in Gefahr bringen zu können, aber man sollte stets mit einem wachsamen Auge durch die Öffentlichkeit gehen und ggf. größere Menschenansammlungen meiden.",2017-08-30 13:16:41.077462,NULL
15,Gina,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Schwierige Frage - ich persönlich habe keine direkten Erfahrungen bisher gemacht. Die vielen Anschläge machen aber natürlich Angst. Man geht als Frau nicht mehr gerne alleine abends in die Stadt oder man hat schon Angst beim Joggen, wenn man sich zu weit von Häusern entfernt. Die Begeitung ist immer ein ungutes Gefühl. Andererseits denke ich, man darf sich von diesen Fanatikern auch nicht in seiner persönlichen Freiheit beschneiden lassen. Wobei ich schon zugeben muss, dass ich nicht mehr zu grossen Konzerten, Veranstaltungen gehe. Die Freiheit zu reisen, sei es Paris, Brüssel oder Istanbul lasse ich mir nicht nehmen. Wir sind ein freies und liberales Land und wir haben auch sehr viele nette Ausländer bei uns, die den Alltag von uns allen bereichern. In meinem Beruf der Touristik hat der terror leider viel kaputt gemacht.",2017-08-30 17:15:27.151932,NULL
16,hotti,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich lebe weiter wie bisher, nur etwas Vorsicht ist geboten. Man passt in seinem Umfeld mehr auf Veränderungen auf.",2017-08-31 07:51:31.932497,NULL
17,4711,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Gottseidank habe ich noch keine persoenlichen Erfahrungen mit Terror gemacht.,2017-08-31 08:08:27.424872,NULL
18,artjom,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),ja mann muss damit um gehen kone,2017-08-31 08:10:02.74375,NULL
19,kayguendel,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"nur gottseidank durch TV, reicht schon, die armen Menschen die es erleben. es muß damit schluß sein.",2017-08-31 08:37:22.417138,NULL
20,didiamor,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Ich habe bisher keine diekten Erfahrungen mit Terror gemacht außer das man öfters kontrolliert wird.Das kenne ich aber schon aus den RAF Zeiten.Ansonsten lebe ich wie gewohnt.Wohne auch in einer Kleinstadt wo das Terrorproblem nicht so präsent ist.Man ist etwas aufmerksamer.Wenn ich in Urlaub fliege achte ich darauf in Gebiete zu reisen die nicht unbedingt Terror Gefährdet ist.Aber Sicherheit gibt es keine 100%ige.Nirgendwo wie die Erfahrung zeigt.,2017-08-31 08:56:17.332366,NULL
21,lammar,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Wenn ich von der medialen Berichterstattung und der damit verbundenen Wahrnehmung von terroristischen Anschlägen absähe, was freilich nicht möglich ist, so gäbe es keine persönlichen Erfahrungen. Tatsächlich nehme ich aber auch wahr, dass Terrorismusbekämpfung zur Reduktion meiner individuellen Freiheiten führt, während Terror durch Nazis kaum verfolgt wird.",2017-08-31 09:47:56.440028,NULL
22,Sudiko,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich gehe seit dem nicht mehr auf größeren Konzerten, ich fliege ungern und reise nur noch mit der bahn // Ich werde nervös, wenn ich die nachrichten an mache und muss sagen, ich habe bereits überlegt auszuwandern",2017-08-31 09:53:53.439567,NULL
23,anonym6,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich selbst habe noch kein Erlebnis mit Terror gehabt. Aber ich lebe in einer Großstadt und da ist man schon stärker damit konfrontiert das täglich was passieren kann. Aber was soll man tun, das Leben muß weitergehen, ich muß trotzdem täglich U-Bahn, Bahn fahren. Irgendeiner Gefahr ist man doch ständig ausgesetzt. Schließlich kann man sich nicht in Watte packen. Trotzdem es ist immer ein sehr ungutes Gefühl dabei.",2017-08-31 09:54:27.985844,NULL
24,bart007,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Nein, zum Glück war noch niemand aus meinem näheren Bekanntenkreis betroffen. Bei 9/11 wurde ein Kollege getötet, der einige Jahre vorher mal für ein paar Monate als Trainee in unserer Abteilung war. Mein Leben hat sich durch den Terror bzw. die Terrorgefahr nicht geändert. Öffentliche Verkehrsmittel meide ich sowieso und Veranstaltungen etc. besuche ich genauso wie 'früher'.",2017-08-31 11:37:27.694505,NULL
25,biggi,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Bisher habe ich den Terror hier in der BRD selbst noch nicht mit erlebt,da ich relativ ländlich lebe.Aber in Ostafrica habe ich vor vielen Jahren Bürgerkriegskämpfe mit erlebt",2017-08-31 12:15:49.637856,NULL
26,Maria,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Vom aktuellen Terror waren weder ich selbst noch mein engerer Kreis bisher direkt betroffen , aber ich kann mich noch gut an die aktive Zeit der RAF erinnern . Auch da hat man manchmal überlegt , ob es wirklich nötig ist , in einem Kaufhaus einzukaufen. Ich habe es trotzdem getan und auch heute bin ich nicht bereit , mich in meinen Aktivitäten zu beschränken.",2017-08-31 12:56:37.009518,NULL
27,Darum,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Bisher bin ich mit dem Terror nicht in direkte berührung geraten. Aber es nimmt einen schon mit wenn man von den Anschlägen in Europa liest und man merkt wie einfach dies ist und das keiner in keinen Ort in Europa davor zu hundert Prozent geschützt ist.,2017-08-31 13:09:39.483894,NULL
28,flukas,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Unmittelbar würde ich noch nicht betroffen ,von Kontrollen an Flughäfen Mal abgesehen.Unterschwellig spürt man die Bedrohungslage schon.",2017-08-31 14:16:26.02637,NULL
29,anonym7,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Zum Glück bin ich bis jetzt noch nicht damit in Berührung gekommen, außer durch Nachrichten. Aber ich mache mir Gedanken, inwieweit ich abends im dunklen noch alleine über die Straßen gehen kann. Eigentlich sollte man sich in seiner Freiheit und in seinem Leben nicht einschränken lassen, aber die Angst ist bei mir unterschwellig meistens dabei.",2017-08-31 15:06:01.746468,NULL
30,lichtblick,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Wir leben weiter wie bisher. Wir lassen uns nicht durch so paar phanatische Idioten das Leben eingrenzen. Wir fahren weiter nach Berlin, Brüssel, Paris und wozu wir sonst noch Lust haben.",2017-08-31 16:35:35.517333,NULL
31,stella,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich wohne in einer Großstadt und habe eine unterschwellige Angst immer im Hinterkopf. Politiker haben gut reden, da sie ja bestens geschützt sind. Meine Tochter (Mitte 20) fährt nicht mehr in bestimmte Stadtteile, da sie dort schon mehrmals belästigt wurde. Und das war vor 4, 5 Jahren noch nicht so. Es ist einfach nur traurig und es wird sicher nicht besser, eher schlimmer. Der Terror kann uns überall hin verfolgen, ob beim Einkaufen oder sonstwo, es gibt immer mehr Verrückte, und das war früher nicht so, man mußte nicht solche Angst haben, wahllos verletzt oder umgebracht zu werden.",2017-08-31 17:03:02.56633,NULL
32,Frank,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich bin von Terror bisher nicht direkt betroffen, ebenso Familie und Umfeld. Ich sehe Terror wie z. B. einen Unfall: Er ist nicht vorhersehbar. Wenn ich betroffen wäre, war ich eben zur falschen Zeit am falschen Ort. Wenn ich von Terroranschlägen höre und lese habe ich Mitleid mit den Betroffenen und Angehörigen. Veränderungen in meinem Alltag spüre ich nicht. Ich lebe in einer mittleren Stadt (ca. 55000 Einwohner). In Großstätten bin ich selten. Auswirkungen auf mein Leben sehe ich wahrscheinlich, wenn ich auf Messen, Ausstellungen, Volksfesten oder anderen Großveranstaltungen gehen werde. Von verschärften Kontrollen und Rucksack-verboten habe ich bereits gelesen und gehört.",2017-08-31 20:29:55.230199,NULL
33,KM93,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Ich habe bisher noch keine Erfahrung mit Terror gemacht und das soll lieber auch so bleiben. Ich habe da eher gesagt auch keine Angst davor. Momentan ist die Gefahr höher an Herzinfarkt oder an eine Verkehrsunfall zu sterben. Allerdings bin ich schon sehr schockiert wie sehr die Gewaltbereitschaft der Menschen in den letzten Jahren zugenommen hat die andere Menschen absichtlich bewusst in größeren Gruppen töten. Ich habe da auch keinerlei Verständnis dafür. Jeder hat das Recht auf Leben.,2017-08-31 20:38:12.43573,NULL
34,fritz1965,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Zum Glück hatte ich noch keine Erfahrungen mit dem Terror, aber ich weigere mich von der Regierung eingeredet zu bekommen, das Terror nun zu meinem normalen Lebensrisko gehört. Es hat zu allen Zeiten Terror gegeben, aber nicht in dieser Qualität und Häufung. Ich finde der Staat macht es sich zu leicht, auch der 9-Punkte-Plan löst das Problem nicht. Der fundamentalistische Islam muss bereits in den Moscheen bekämpft werden, Haßprediger, Gefährder und Salafisten konsequent ausgewiesen werden.",2017-08-31 21:46:54.773843,NULL
35,wolf16,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich finde es erschreckend, wenn größere Veranstaltungen nur noch mit massiven Sperren gegen Fahrzeuganschläge und körperliche Durchsuchungen möglich sind. Da bleibe ich lieber Zuhause.",2017-08-31 23:45:40.029825,NULL
36,merythor,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Hatte -zum Glück- noch keine Erfahrungen. Habe auch keine Angst davor. Es ist nun mal ein Teil unserer Welt. Ist man zur falschen Zeit am falschen Ort, dann ist es so. Genauso wie wenn ich gerade dann auf der Autobahn bin, wenn ein Geisterfahrer unterwegs ist. Einen dicken Hals bekomme ich jedoch dann, wenn Leute erzählen, dass sie genauso weiterleben wie vorher auch und als Grund angeben, dass man den Terroristen zeigen will, dass wir uns nicht einschüchtern lassen. Damit meine ich nicht nur die Politiker. Man lebt so weiter, weil man sich aus persönlichen Gründen weiterhin dafür entscheidet ganz normal weiterzuleben.",2017-09-01 00:39:58.12847,NULL
37,Sammy,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich wohne in einem Vorort von einer mittelgroßen Stadt. Anschläge hat es in meiner Umgebung noch nicht gegeben. Man hört und liest aber auch hier von Übergriffen, Straftaten von den Flüchtlingen. Überall wo die Terroranschläge passiert sind, haben die Menschen, die davon betroffen sind und waren mein tiefstes Mitgefühl. All das hätte vermieden werden können. Der Leichtsinn unserer Politiker geht hier ins unermessliche. Hauptsache die Politiker sind gut geschützt, finanziert durch unsere Steuern !",2017-09-01 09:06:08.41103,NULL
