post_number,topic,user,raw,created_at,reply_to_post_number,key,value,key,value
36,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),ToWi,"Mal abgesehen davon, dass das wohl kaum zur Lösung des Problem beiträgt, weil dann noch mehr Menschen dies behaupten, da sie dann ja in ein Wunschland zurückgeschickt werden können, ist Ihre Aussage alleine schon auf internationaler Ebene vollkommen absurd. Eine Abschiebung kann schließlich nur im Einvernehmen mit dem Aufnahmestaat geschehen, der wohl in aller Regel nicht irgendwelche Menschen aufnehmen wird, die nicht seine eigenen Staatsbürger sind. Hinzu kommt, dass eh genau die Länder angegeben werden, die eine Rückführung unmöglich machen, weil das ja genau der Sinn davon ist ein falsches Land anzugeben. Wie absurd Ihre ""Idee"" ist, zeigt sich schlicht daran, dass dann ja einfach EU-Mitgliedsstaaten angegeben werden könnten, und somit diese (wie auch immer Sie sich dies vorstellen) dann die Menschen aufnehmen müssen.",2017-08-30 17:21:32.111641,16,+1|retort,"[""Annzlodi""]",NULL,NULL
37,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),peter-59,"Vieles liest sich erst einmal gut, einiges sollte sogar selbstverständlich sein (Vernetzung von relevanten Daten auf europäischer Ebene, eine technisch und personell gut aufgestellte Polizei). Wie schon einige andere Teilnehmer geschrieben haben, kommt es drauf an, wie man es umsetzt. Insgesamt geht man mit dem Thema Terrorgefahr / Radikalisierung von Flüchtlingen meiner Meinung nach immer noch zu naiv um, oft genug in der falschen Angst, man könnte Menschen muslimischen Glaubens mit klaren Aussagen und Forderungen vor den Kopf stoßen. Als zehnten Punkt würde ich mir einen kritischeren Dialog mit dem Islam, also insbesondere muslimischen Verbänden und Vereinen wünschen. Kritische Fragen zum Islam sind nicht automatisch ein Zeichen für Islamphobie oder Diskriminierung von Muslimen. Eine Anforderung an die Islamverbände sollte zum Beispiel das sein, was Samuel Schirmbeck in der FAZ vom 24.08.17 schrieb: ""Erklären Sie, dass die islamische Aufteilung der Welt in einen gläubigen und einen ungläubigen Teil menschenfeindlich und daher eines heutigen muslimischen Gläubigen unwürdig ist!"" Viele der muslimischen Attentäter begründen ihre Taten ja mit genau dieser Weltsicht - sie hätten etwas gegen Ungläubige unternommen und somit aus ihrer Sicht etwas Richtiges getan. Das dies auf keinen Fall so ist, muss immer und immer wieder klar gemacht werden, auch von muslimischen Verbänden und Autoritäten. Es gibt zwar immer wieder erfreuliche Ansätze und Reaktionen von Islamverbänden, auch von einzelnen muslimischen Gläubigen, insgesamt aber habe ich den Eindruck, dass sich viele Islamverbände immer noch wegducken, wenn es um eindeutige Positionen geht, wie sie zum Beispiel Herr Schirmbeck formuliert hat. Das darf man nicht stehenlassen, auch von Seiten der Politik nicht.",2017-08-30 17:47:59.824474,NULL,+1|retort,"[""Annzlodi"", ""garda""]",NULL,NULL
38,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),mmb,"Alles gut und schön. Auf die Umsetzung bin ich ja mal gespannt. Ob man damit allerdings die Flüchtlingsströme in den Griff bekommt, da habe ich so meine Zweifel. Wir müssen ran an die Wurzeln,um dieses Problem zu lösen und die liegen nun mal nicht in Europa.",2017-08-30 18:33:23.982708,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
39,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Zaches,das ist mir zu lang und zu allgemein,2017-08-30 19:39:29.119993,NULL,NULL,NULL,-1|retort,"[""Annzlodi""]"
40,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Michel68,"Es ist schön, dass sich endlich auch die Kanzlerin dieser Thematik annimmt. Aber wie immer nur halbherzig und mit zweifelhaften Punkten (Bundeswehreinsätze im Innern etc.).",2017-08-30 20:11:21.76803,NULL,NULL,NULL,-1|retort,"[""Annzlodi""]"
41,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Brandenburg03,"Also das ist für mich mal wieder geistiger Bullshit von Frau Merkel.Alleine das Sie wieder den Geheimdienst mit einschließt ist schon wieder unangenehm,denn was hat der Geheimdienst bei anderen Sachen geschafft?Irgend welche Menschen als V Leute eingeschleusst,die dann unter dem Mantel des Geheimdienstes Straftaten verübt haben und nicht zur Rechenschaft gezogen wurden.Und ein 9 Punkte Plan hilft doch nur wenn was passiert!Macht Lieber vorher was gegen die Gefährder die Bekannt sind.Aber nein die werden ja vom Geheimdienst überwacht!!!!Und dann mehr Polizei?HAHAHA nach dem Jahrelang bei der Polizei Stellen gestrichen wurden,damit in anderen Staatlichen Bereichen mehr Leute eingestellt wurden und man immer mehr Straftaten hat,kommt der ruf nach mehr Polizei.Frau Merkel wie lange sind Sie Bundeskanzlerin?12 Jahre.Und nach 12 jahren stellen Sie endlich fest ""Wir brauchen mehr Polizei""Armes Deutschland",2017-08-30 20:59:12.983158,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
42,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),ayan,Wegen Abschiebungen muss die Bundesregieren sehr eng mit den Herkunftsländern der Flüchtllinge kooperieren. Oft gibt es unglaubwürdige Gründe und die Flüchtlinge werden nicht abgeschoben.,2017-08-30 21:27:06.149026,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
43,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Thommy63,".....der kommt ziemlich spät. aber ""Mutti"" macht das schon,",2017-08-31 07:14:51.217809,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
44,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),BirgitK,Das Problem wird man nie lösen können. Da die Herkunftsländer nicht kooperieren. Die Rückführung und die Klärung der Identität dauert zulange. Daher ist der Gedanke der Rückführung gut aber definitiv nicht umsetzbar. Also ist Abschiebung in Herkunftsländer nicht möglich. Daher mein Vorschlag Abschiebung in die Länder die man angegeben hat,2017-08-31 08:06:42.229289,36,+1|retort,"[""Annzlodi""]",NULL,NULL
45,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),hhoefle,"Wenn hierzu eine Änderung nötig sein sollte, dann sollte man dies auch tun. Ich denke man muss auch das Grundgesetz in Bereichen an die heutige Zeit anpassen. Alles ist immer im Wandel, nur das was in unserem Land sehr starr ist, das ist die Gesetzgebung.",2017-08-31 08:10:41.673599,2,+1|retort,"[""Annzlodi""]",NULL,NULL
