post_number,topic,user,raw,created_at,reply_to_post_number,key,value
31,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),leuchte475,"Diese Maßnahmen sollten nicht nur auf dem Papier existieren, sondern auch mal in die Tat umgesetzt werden.",2017-08-31 08:20:04.23374,NULL,NULL,NULL
32,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Lea,"Ich finde es gut, dass Frau Merkel und ihre Mitarbeiter sich intensiv zusammensetzen und einen Umfassenden Plan erstellen - allerdings sind manche der Punkte eher schwammig, schwer umsetzbar und schlicht ein ""Über das Ziel Hinausschießen"" - wenn es zum Beispiel darum geht, generell stärker online Kommunikation zu überwachen, ist das ein massiver Übergriff auf die Privatsphäre der Bürger - denn dann müsste das bedeuten, dass konkret ALLE Nutzer ""abgehorcht"" werden - anderenfalls ist es eine klare Marginalisierung und Diskriminierung bestimmter Ethnischer Gruppierungen und steht mehr für Rassismus denn für die gepredigte europäische/deutsche Offenheit, Toleranz, Vorurteilsfreiheit.",2017-08-31 08:20:55.900707,NULL,NULL,NULL
33,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),saschathurm,In diesem Fall sollte man das GG so ändern das Bundeswehr Einsätze zu Hilfszwecken/Katastrophen im eigenen Land oder bei Terroralarm zum Einsatz kommen kann.,2017-08-31 08:23:38.658035,2,NULL,NULL
34,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Snow,Ich finde Nr. 3 und 5 fraglich. Was will man da bitte Forschen?,2017-08-31 08:29:03.620107,NULL,NULL,NULL
35,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),waldi,"Plane, plane ohne ende. Wie auch immer, in pahr Wochen versickert das ganze im Sand.",2017-08-31 08:41:58.281436,NULL,+1|retort,"[""Realitaet""]"
36,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Emilybanjo,Hoffentlich bleibt nach den Wahlen noch der ein oder andere Punkt übrig. Meistens wird nach den Wahlen ja alles schnell wieder vergessen.,2017-08-31 08:48:37.969489,NULL,+1|retort,"[""Realitaet""]"
37,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),MarCos,Mir ist das Ganze nicht konkret genug. Wie genau sollen die Maßnahmen umgesetzt werden? Und wann vor allem. Ich finde diese Maßnahmen hätten schon längst umgesetzt werden müssen.,2017-08-31 08:56:04.664167,NULL,+1|retort,"[""Roxy"", ""Konstanze""]"
38,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),nicolehh,Die Bundeswehr im Inneren einsetzen ist keine Option. Das ist Aufgabe der Polizei,2017-08-31 09:00:21.787672,NULL,+1|retort,"[""Roxy""]"
39,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),dirgni,"Ursachenforschung ist wichtig, und sicher ist eine Kooperation der Geheimdienste sinnvoll. Aber eine staatliche Stelle zur Entschlüsselung? Dann muss ich als Bürger immer damit rechnen, dass selbst meine verschlüsselte Kommunikation gelesen werden kann, entweder vom Staat oder von anderen, die sich diese Hintertüren dann auch zunutze machen. Dieser Plan beschneidet die Privatsphäre mit dem Argument, mehr Überwachung würde die Sicherheit erhöhen.",2017-08-31 09:23:02.706763,NULL,NULL,NULL
40,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Jakob,"Diese neun Punkte sind ein Schritt in die richtige Richtung. Das Wichtigste ist, dass Terroristen hier gar nicht erst hereinkommen bzw. Handlungsfreiheiten erhalten. Denn Waffen oder Mittel, Menschen umzubringen, wird man immer finden. Daher: 1. Es fehlen Zeitziele, zum Beispiel bei Punkt 6. Die Zeit drängt, es gab bereits hunderte Tote in Europa durch islamistischen Terrorismus. Das Einschalten von McKinsey bei Punkt 9 sieht mir auch nach Verzögerungstaktik aus. 2. Es fehlen Punkte: Aufnehmen würde ich u.a.: - Viele Terroristen wurden durch radikale Imame in Europa angeleitet, radikalisiert und gehirngewaschen. --> Daher sollte es ein Verbot der Finanzierung von religiösen Stätten aus dem Ausland und ein Verbot der Entsendung von radikalen Predigern aus dem dem Ausland geben. Saudi-Arabien z.B. exportiert seinen radikalen Islam in die ganze Welt durch islamistische Prediger und die nahezu unerschöpflichen Geldmittel aus den Ölgeschäften. - Viele Terroristen kamen durch irreguläre Migration nach Europa oder nutzten die Flüchtlingsrouten, um aus arabischen Terrorcamps wieder nach Europa zu gelangen (siehe Paris-Attentäter). --> Es braucht eine vollständige und lückenlose Grenzsicherung des Schengenraus inklusive Transitzonen, ist dies nicht binnen Jahresfrist möglich, auch nur für Deutschland. Ungarn hat etwa Transitzonen und praktisch keine Probleme mit Islamismus oder Terror. Die Transitzonen klären Identitäten, gleichen Personalien mit Fahndungsdatenbanken, entscheiden über mögliches Bleiberecht. Sind sind keine Haft, ein Verlassen ins vorherige Land ist immer möglich. - Fast alle Terroristen ließen sich durch Zahlungen ausländischer Terrororganisationen finanzieren oder wurden dadurch angeleitet. -> Bei allen neuen Zuwanderern sollten daher zwei bis drei Jahre lang sämtliche Geld- und Kommunikationswege ins Ausland durch automatische Systeme überwacht werden. Das kann man gerne mit Punkt 1, dem Frühwarnsystem, verbinden.",2017-08-31 09:57:20.689861,NULL,+1|retort,"[""Realitaet""]"
41,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),heidi1949,mehr polizeieinsätze,2017-08-31 10:01:45.681092,NULL,NULL,NULL
42,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),ole65,wenn es irgendwann in ferner zukunft mal umgesetzt wiürde,2017-08-31 10:43:00.424282,NULL,NULL,NULL
43,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),mejupa,"Ich bin absolut gegen Überwachung und den Einsatz der Bundeswehr im Inneren. Erst einmal liest es sich gut, aber ob das jemals umgesetzt wird? Fraglich.",2017-08-31 11:33:31.336644,NULL,NULL,NULL
